id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,tipe_pengelola
1254,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1253,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1724,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1723,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2194,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2193,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2664,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2663,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
934,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
933,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1404,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1403,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1874,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1873,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2344,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2343,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1020,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1019,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1490,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1489,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1960,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1959,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2430,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2429,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
986,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2019,PERHUTANI
985,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2019,PERHUTANI
1456,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2020,PERHUTANI
1455,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2020,PERHUTANI
1926,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2021,PERHUTANI
1925,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2021,PERHUTANI
2396,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2022,PERHUTANI
2395,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2022,PERHUTANI
20,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2016,BKSDA
19,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2016,BKSDA
310,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2017,BKSDA
309,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2017,BKSDA
576,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2018,BKSDA
575,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2018,BKSDA
840,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2019,BKSDA
839,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2019,BKSDA
1310,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2020,BKSDA
1309,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2020,BKSDA
1780,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2021,BKSDA
1779,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2021,BKSDA
2250,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2022,BKSDA
2249,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2022,BKSDA
294,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2017,TN
293,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2017,TN
558,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2018,TN
557,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2018,TN
822,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2019,TN
821,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2019,TN
1292,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2020,TN
1291,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2020,TN
1762,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2021,TN
1761,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2021,TN
2232,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2022,TN
2231,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2022,TN
2,32,JAWA BARAT,BALAI BESAR TN.GN. GEDEPANGRANGO,WISATAWAN MANCANEGARA,1030,ORANG,2016,TN
1,32,JAWA BARAT,BALAI BESAR TN.GN. GEDEPANGRANGO,WISATAWAN NUSANTARA,161154,ORANG,2016,TN
16,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN MANCANEGARA,0,ORANG,2016,TAHURA
15,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN NUSANTARA,0,ORANG,2016,TAHURA
306,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN MANCANEGARA,0,ORANG,2017,TAHURA
305,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN NUSANTARA,0,ORANG,2017,TAHURA
10,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,15,ORANG,2016,TN
9,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,405747,ORANG,2016,TN
302,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2017,TN
301,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2017,TN
566,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2018,TN
565,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,6,ORANG,2018,TN
830,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2019,TN
829,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,12,ORANG,2019,TN
1300,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2020,TN
1299,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,12,ORANG,2020,TN
1770,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2021,TN
1769,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2021,TN
2240,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2022,TN
2239,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2022,TN
298,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2017,TN
297,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,180,ORANG,2017,TN
562,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2018,TN
561,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,188,ORANG,2018,TN
826,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2019,TN
825,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,152,ORANG,2019,TN
1296,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2020,TN
1295,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,152,ORANG,2020,TN
1766,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2021,TN
1765,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,0,ORANG,2021,TN
2236,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2022,TN
2235,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN NUSANTARA,0,ORANG,2022,TN
6,32,JAWA BARAT,BALAI TN.GN.HALIMUN-SALAK,WISATAWAN MANCANEGARA,208,ORANG,2016,TN
5,32,JAWA BARAT,BALAI TN.GN.HALIMUN-SALAK,WISATAWAN NUSANTARA,131073,ORANG,2016,TN
916,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
915,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1386,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1385,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1856,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1855,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2326,32,JAWA BARAT,BARU JERUK,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2325,32,JAWA BARAT,BARU JERUK,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1290,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1289,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1760,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1759,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2230,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2229,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2700,32,JAWA BARAT,BATU BUBUT,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2699,32,JAWA BARAT,BATU BUBUT,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
158,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2016,LAINNYA
157,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2016,LAINNYA
436,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2017,LAINNYA
435,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2017,LAINNYA
700,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2018,LAINNYA
699,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2018,LAINNYA
1050,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1049,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1520,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1519,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1990,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1989,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2460,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2459,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1260,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1259,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1730,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1729,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2200,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2199,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2670,32,JAWA BARAT,BATU LAWANG,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2669,32,JAWA BARAT,BATU LAWANG,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1022,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1021,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1492,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1491,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1962,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1961,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2432,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2431,32,JAWA BARAT,BIHBUL FOREST PARK,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
976,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
975,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1446,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1445,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1916,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1915,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2386,32,JAWA BARAT,BLANAKAN,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2385,32,JAWA BARAT,BLANAKAN,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
72,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2016,LAINNYA
71,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,0,ORANG,2016,LAINNYA
360,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2017,LAINNYA
359,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,0,ORANG,2017,LAINNYA
624,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2018,LAINNYA
623,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,553,ORANG,2018,LAINNYA
1218,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1217,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1688,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1687,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
2158,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
2157,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2628,32,JAWA BARAT,BUBULAK,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2627,32,JAWA BARAT,BUBULAK,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
922,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
921,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1392,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1391,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1862,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1861,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2332,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2331,32,JAWA BARAT,BUKIT BINTANG,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
1028,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2019,LAINNYA
1027,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2019,LAINNYA
1498,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2020,LAINNYA
1497,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2020,LAINNYA
1968,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2021,LAINNYA
1967,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2021,LAINNYA
2438,32,JAWA BARAT,BUKIT CINTA,WISATAWAN MANCANEGARA,0,ORANG,2022,LAINNYA
2437,32,JAWA BARAT,BUKIT CINTA,WISATAWAN NUSANTARA,0,ORANG,2022,LAINNYA
