id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,data_flag,tipe_pengelola
1254,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1724,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2194,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2664,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1253,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1723,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
2193,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2663,32,JAWA BARAT,AMPAH NANGKA,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
934,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1404,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1874,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2344,32,JAWA BARAT,ASTOR,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
933,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1403,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1873,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2343,32,JAWA BARAT,ASTOR,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1020,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1490,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1960,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2430,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
1019,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1489,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1959,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2429,32,JAWA BARAT,BADEGA PARANG CIRANGKONG,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
986,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,LAINNYA
1456,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1926,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,LAINNYA
2396,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
985,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,LAINNYA
1455,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,LAINNYA
1925,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,LAINNYA
2395,32,JAWA BARAT,BADEGLA GUNUNG PARANG,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,LAINNYA
20,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2016,NORMAL,BKSDA
310,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,BKSDA
576,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2018,NORMAL,BKSDA
840,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,BKSDA
1310,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,BKSDA
