tahun,bulan,jenis_hotel,tpk,bulan_num,periode,is_covid
2019,Januari,1. Hotel Berbintang Total,54.33,1,2019-01-01,False
2019,Februari,1. Hotel Berbintang Total,51.57,2,2019-02-01,False
2019,Maret,1. Hotel Berbintang Total,52.69,3,2019-03-01,False
2019,April,1. Hotel Berbintang Total,53.17,4,2019-04-01,False
2019,Mei,1. Hotel Berbintang Total,38.79,5,2019-05-01,False
2019,Juni,1. Hotel Berbintang Total,53.13,6,2019-06-01,False
2019,Juli,1. Hotel Berbintang Total,54.69,7,2019-07-01,False
2019,Agustus,1. Hotel Berbintang Total,49.58,8,2019-08-01,False
2019,September,1. Hotel Berbintang Total,50.6,9,2019-09-01,False
2019,Oktober,1. Hotel Berbintang Total,56.07,10,2019-10-01,False
2019,November,1. Hotel Berbintang Total,58.95,11,2019-11-01,False
2019,Desember,1. Hotel Berbintang Total,62.4,12,2019-12-01,False
2020,Januari,1. Hotel Berbintang Total,47.06,1,2020-01-01,True
2020,Februari,1. Hotel Berbintang Total,49.53,2,2020-02-01,True
2020,Maret,1. Hotel Berbintang Total,34.55,3,2020-03-01,True
2020,April,1. Hotel Berbintang Total,10.77,4,2020-04-01,True
2020,Mei,1. Hotel Berbintang Total,12.92,5,2020-05-01,True
2020,Juni,1. Hotel Berbintang Total,20.76,6,2020-06-01,True
2020,Juli,1. Hotel Berbintang Total,30.51,7,2020-07-01,True
2020,Agustus,1. Hotel Berbintang Total,40.82,8,2020-08-01,True
2020,September,1. Hotel Berbintang Total,37.43,9,2020-09-01,True
2020,Oktober,1. Hotel Berbintang Total,43.57,10,2020-10-01,True
2020,November,1. Hotel Berbintang Total,48.89,11,2020-11-01,True
2020,Desember,1. Hotel Berbintang Total,45.22,12,2020-12-01,True
2021,Januari,1. Hotel Berbintang Total,29.16,1,2021-01-01,True
2021,Februari,1. Hotel Berbintang Total,37.15,2,2021-02-01,True
2021,Maret,1. Hotel Berbintang Total,40.37,3,2021-03-01,True
2021,April,1. Hotel Berbintang Total,38.4,4,2021-04-01,True
2021,Mei,1. Hotel Berbintang Total,35.72,5,2021-05-01,True
2021,Juni,1. Hotel Berbintang Total,38.19,6,2021-06-01,True
