tahun,kode_wilayah,kabupaten_kota,wilayah,total_objek_wisata,alam,buatan,budaya,minat_khusus,alam_norm,budaya_norm,buatan_norm,minat_khusus_norm,total_norm
2014,3201,KABUPATEN BOGOR,Bogor-Sukabumi,45,38.0,,3.0,4.0,0.9743589743589743,0.21428571428571427,,0.07272727272727272,0.6716417910447762
2014,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,50,36.0,,7.0,7.0,0.9230769230769231,0.5,,0.12727272727272726,0.746268656716418
2014,3203,KABUPATEN CIANJUR,Priangan Barat,17,12.0,,4.0,1.0,0.3076923076923077,0.2857142857142857,,0.01818181818181818,0.2537313432835821
2014,3204,KABUPATEN BANDUNG,Priangan Barat,53,39.0,,14.0,0.0,1.0,1.0,,0.0,0.7910447761194029
2014,3205,KABUPATEN GARUT,Priangan Timur,39,28.0,,5.0,6.0,0.717948717948718,0.35714285714285715,,0.10909090909090909,0.582089552238806
2014,3206,KABUPATEN TASIKMALAYA,Priangan Timur,13,10.0,,2.0,1.0,0.2564102564102564,0.14285714285714285,,0.01818181818181818,0.19402985074626866
2014,3207,KABUPATEN CIAMIS,Priangan Timur,23,11.0,,6.0,6.0,0.28205128205128205,0.42857142857142855,,0.10909090909090909,0.34328358208955223
2014,3208,KABUPATEN KUNINGAN,Pantura Timur,28,19.0,,6.0,3.0,0.48717948717948717,0.42857142857142855,,0.05454545454545454,0.417910447761194
2014,3209,KABUPATEN CIREBON,Pantura Timur,11,7.0,,4.0,0.0,0.1794871794871795,0.2857142857142857,,0.0,0.16417910447761194
2014,3210,KABUPATEN MAJALENGKA,Pantura Timur,13,11.0,,0.0,2.0,0.28205128205128205,0.0,,0.03636363636363636,0.19402985074626866
2014,3211,KABUPATEN SUMEDANG,Priangan Barat,29,14.0,,7.0,8.0,0.358974358974359,0.5,,0.14545454545454545,0.43283582089552236
2014,3212,KABUPATEN INDRAMAYU,Pantura Timur,5,4.0,,1.0,0.0,0.10256410256410256,0.07142857142857142,,0.0,0.07462686567164178
2014,3213,KABUPATEN SUBANG,Pantura Barat,67,31.0,,11.0,25.0,0.7948717948717948,0.7857142857142857,,0.45454545454545453,1.0
2014,3214,KABUPATEN PURWAKARTA,Pantura Barat,24,9.0,,7.0,8.0,0.23076923076923078,0.5,,0.14545454545454545,0.3582089552238806
2014,3215,KABUPATEN KARAWANG,Pantura Barat,24,12.0,,9.0,3.0,0.3076923076923077,0.6428571428571429,,0.05454545454545454,0.3582089552238806
2014,3216,KABUPATEN BEKASI,Pantura Barat,10,4.0,,3.0,3.0,0.10256410256410256,0.21428571428571427,,0.05454545454545454,0.14925373134328357
2014,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,39,26.0,,10.0,3.0,0.6666666666666666,0.7142857142857143,,0.05454545454545454,0.582089552238806
2014,3271,KOTA BOGOR,Bogor-Sukabumi,57,0.0,,2.0,55.0,0.0,0.14285714285714285,,1.0,0.8507462686567164
2014,3272,KOTA SUKABUMI,Bogor-Sukabumi,2,2.0,,0.0,0.0,0.05128205128205128,0.0,,0.0,0.029850746268656716
2014,3273,KOTA BANDUNG,Priangan Barat,14,3.0,,3.0,8.0,0.07692307692307693,0.21428571428571427,,0.14545454545454545,0.208955223880597
2014,3274,KOTA CIREBON,Pantura Timur,10,1.0,,8.0,1.0,0.02564102564102564,0.5714285714285714,,0.01818181818181818,0.14925373134328357
2014,3275,KOTA BEKASI,Pantura Barat,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2014,3276,KOTA DEPOK,Pantura Barat,6,6.0,,0.0,0.0,0.15384615384615385,0.0,,0.0,0.08955223880597014
2014,3277,KOTA CIMAHI,Priangan Barat,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2014,3278,KOTA TASIKMALAYA,Priangan Timur,7,3.0,,4.0,0.0,0.07692307692307693,0.2857142857142857,,0.0,0.1044776119402985
2014,3279,KOTA BANJAR,Priangan Timur,1,1.0,,0.0,0.0,0.02564102564102564,0.0,,0.0,0.014925373134328358
2015,3201,KABUPATEN BOGOR,Bogor-Sukabumi,45,38.0,,3.0,4.0,0.48717948717948717,0.07317073170731707,,0.07272727272727272,0.37815126050420167
2015,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,50,36.0,,7.0,7.0,0.46153846153846156,0.17073170731707318,,0.12727272727272726,0.42016806722689076
2015,3203,KABUPATEN CIANJUR,Priangan Barat,16,9.0,,3.0,4.0,0.11538461538461539,0.07317073170731707,,0.07272727272727272,0.13445378151260504
2015,3204,KABUPATEN BANDUNG,Priangan Barat,119,78.0,,41.0,0.0,1.0,1.0,,0.0,1.0
2015,3205,KABUPATEN GARUT,Priangan Timur,39,28.0,,5.0,6.0,0.358974358974359,0.12195121951219512,,0.10909090909090909,0.3277310924369748
2015,3206,KABUPATEN TASIKMALAYA,Priangan Timur,13,10.0,,2.0,1.0,0.1282051282051282,0.04878048780487805,,0.01818181818181818,0.1092436974789916
2015,3207,KABUPATEN CIAMIS,Priangan Timur,9,1.0,,6.0,2.0,0.01282051282051282,0.14634146341463414,,0.03636363636363636,0.07563025210084033
2015,3208,KABUPATEN KUNINGAN,Pantura Timur,28,19.0,,6.0,3.0,0.24358974358974358,0.14634146341463414,,0.05454545454545454,0.23529411764705882
2015,3209,KABUPATEN CIREBON,Pantura Timur,11,7.0,,4.0,0.0,0.08974358974358974,0.0975609756097561,,0.0,0.09243697478991597
2015,3210,KABUPATEN MAJALENGKA,Pantura Timur,9,9.0,,0.0,0.0,0.11538461538461539,0.0,,0.0,0.07563025210084033
2015,3211,KABUPATEN SUMEDANG,Priangan Barat,22,10.0,,7.0,5.0,0.1282051282051282,0.17073170731707318,,0.09090909090909091,0.18487394957983194
2015,3212,KABUPATEN INDRAMAYU,Pantura Timur,5,4.0,,1.0,0.0,0.05128205128205128,0.024390243902439025,,0.0,0.04201680672268908
2015,3213,KABUPATEN SUBANG,Pantura Barat,67,31.0,,11.0,25.0,0.3974358974358974,0.2682926829268293,,0.45454545454545453,0.5630252100840336
2015,3214,KABUPATEN PURWAKARTA,Pantura Barat,25,9.0,,7.0,9.0,0.11538461538461539,0.17073170731707318,,0.16363636363636364,0.21008403361344538
2015,3215,KABUPATEN KARAWANG,Pantura Barat,24,12.0,,9.0,3.0,0.15384615384615385,0.21951219512195122,,0.05454545454545454,0.20168067226890757
2015,3216,KABUPATEN BEKASI,Pantura Barat,10,4.0,,3.0,3.0,0.05128205128205128,0.07317073170731707,,0.05454545454545454,0.08403361344537816
2015,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,39,26.0,,10.0,3.0,0.3333333333333333,0.24390243902439024,,0.05454545454545454,0.3277310924369748
