tahun,bulan,jenis_hotel,tpk
2019,Januari,1.a. Hotel Bintang 1,
2019,Januari,1.b. Hotel Bintang 2,
2019,Januari,1.c. Hotel Bintang 3,
2019,Januari,1.d. Hotel Bintang 4,
2019,Januari,1.e. Hotel Bintang 5,
2019,Januari,1. Hotel Berbintang Total,54.33
2019,Januari,2.a. Hotel NonBintang; kamar <10,
2019,Januari,2.b. Hotel NonBintang; kamar 10-24,
2019,Januari,2.c. Hotel NonBintang; kamar 25-40,
2019,Januari,2.d. Hotel NonBintang; kamar >40,
2019,Januari,2. Hotel NonBintang Total,36.72
2019,Januari,3. Hotel Berbintang dan NonBintang Total,51.45
2020,Januari,1.a. Hotel Bintang 1,
2020,Januari,1.b. Hotel Bintang 2,
2020,Januari,1.c. Hotel Bintang 3,
2020,Januari,1.d. Hotel Bintang 4,
2020,Januari,1.e. Hotel Bintang 5,
2020,Januari,1. Hotel Berbintang Total,47.06
2020,Januari,2.a. Hotel NonBintang; kamar <10,
2020,Januari,2.b. Hotel NonBintang; kamar 10-24,
2020,Januari,2.c. Hotel NonBintang; kamar 25-40,
2020,Januari,2.d. Hotel NonBintang; kamar >40,
2020,Januari,2. Hotel NonBintang Total,35.35
2020,Januari,3. Hotel Berbintang dan NonBintang Total,45.96
2021,Januari,1.a. Hotel Bintang 1,
2021,Januari,1.b. Hotel Bintang 2,
2021,Januari,1.c. Hotel Bintang 3,
2021,Januari,1.d. Hotel Bintang 4,
2021,Januari,1.e. Hotel Bintang 5,
2021,Januari,1. Hotel Berbintang Total,29.16
2021,Januari,2.a. Hotel NonBintang; kamar <10,
2021,Januari,2.b. Hotel NonBintang; kamar 10-24,
2021,Januari,2.c. Hotel NonBintang; kamar 25-40,
2021,Januari,2.d. Hotel NonBintang; kamar >40,
2021,Januari,2. Hotel NonBintang Total,18.89
2021,Januari,3. Hotel Berbintang dan NonBintang Total,26.68
2022,Januari,1.a. Hotel Bintang 1,
2022,Januari,1.b. Hotel Bintang 2,
2022,Januari,1.c. Hotel Bintang 3,
2022,Januari,1.d. Hotel Bintang 4,
2022,Januari,1.e. Hotel Bintang 5,
2022,Januari,1. Hotel Berbintang Total,46.99
2022,Januari,2.a. Hotel NonBintang; kamar <10,
2022,Januari,2.b. Hotel NonBintang; kamar 10-24,
2022,Januari,2.c. Hotel NonBintang; kamar 25-40,
2022,Januari,2.d. Hotel NonBintang; kamar >40,
2022,Januari,2. Hotel NonBintang Total,27.61
2022,Januari,3. Hotel Berbintang dan NonBintang Total,
2023,Januari,1.a. Hotel Bintang 1,
2023,Januari,1.b. Hotel Bintang 2,
2023,Januari,1.c. Hotel Bintang 3,
2023,Januari,1.d. Hotel Bintang 4,
2023,Januari,1.e. Hotel Bintang 5,
2023,Januari,1. Hotel Berbintang Total,46.5
2023,Januari,2.a. Hotel NonBintang; kamar <10,
2023,Januari,2.b. Hotel NonBintang; kamar 10-24,
