tahun,kode_wilayah,kabupaten_kota,kategori_wisata,jumlah_objek_wisata
2014,3201,KABUPATEN BOGOR,ALAM,38
2014,3201,KABUPATEN BOGOR,BUDAYA,3
2014,3201,KABUPATEN BOGOR,MINAT KHUSUS,4
2014,3202,KABUPATEN SUKABUMI,ALAM,36
2014,3202,KABUPATEN SUKABUMI,BUDAYA,7
2014,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7
2014,3203,KABUPATEN CIANJUR,ALAM,12
2014,3203,KABUPATEN CIANJUR,BUDAYA,4
2014,3203,KABUPATEN CIANJUR,MINAT KHUSUS,1
2014,3204,KABUPATEN BANDUNG,ALAM,39
2014,3204,KABUPATEN BANDUNG,BUDAYA,14
2014,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0
2014,3205,KABUPATEN GARUT,ALAM,28
2014,3205,KABUPATEN GARUT,BUDAYA,5
2014,3205,KABUPATEN GARUT,MINAT KHUSUS,6
2014,3206,KABUPATEN TASIKMALAYA,ALAM,10
2014,3206,KABUPATEN TASIKMALAYA,BUDAYA,2
2014,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,1
2014,3207,KABUPATEN CIAMIS,ALAM,11
2014,3207,KABUPATEN CIAMIS,BUDAYA,6
2014,3207,KABUPATEN CIAMIS,MINAT KHUSUS,6
2014,3208,KABUPATEN KUNINGAN,ALAM,19
2014,3208,KABUPATEN KUNINGAN,BUDAYA,6
2014,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3
2014,3209,KABUPATEN CIREBON,ALAM,7
2014,3209,KABUPATEN CIREBON,BUDAYA,4
2014,3209,KABUPATEN CIREBON,MINAT KHUSUS,0
2014,3210,KABUPATEN MAJALENGKA,ALAM,11
2014,3210,KABUPATEN MAJALENGKA,BUDAYA,0
2014,3210,KABUPATEN MAJALENGKA,MINAT KHUSUS,2
2014,3211,KABUPATEN SUMEDANG,ALAM,14
2014,3211,KABUPATEN SUMEDANG,BUDAYA,7
2014,3211,KABUPATEN SUMEDANG,MINAT KHUSUS,8
2014,3212,KABUPATEN INDRAMAYU,ALAM,4
2014,3212,KABUPATEN INDRAMAYU,BUDAYA,1
2014,3212,KABUPATEN INDRAMAYU,MINAT KHUSUS,0
2014,3213,KABUPATEN SUBANG,ALAM,31
2014,3213,KABUPATEN SUBANG,BUDAYA,11
2014,3213,KABUPATEN SUBANG,MINAT KHUSUS,25
2014,3214,KABUPATEN PURWAKARTA,ALAM,9
2014,3214,KABUPATEN PURWAKARTA,BUDAYA,7
2014,3214,KABUPATEN PURWAKARTA,MINAT KHUSUS,8
2014,3215,KABUPATEN KARAWANG,ALAM,12
2014,3215,KABUPATEN KARAWANG,BUDAYA,9
2014,3215,KABUPATEN KARAWANG,MINAT KHUSUS,3
2014,3216,KABUPATEN BEKASI,ALAM,4
2014,3216,KABUPATEN BEKASI,BUDAYA,3
2014,3216,KABUPATEN BEKASI,MINAT KHUSUS,3
2014,3217,KABUPATEN BANDUNG BARAT,ALAM,26
2014,3217,KABUPATEN BANDUNG BARAT,BUDAYA,10
2014,3217,KABUPATEN BANDUNG BARAT,MINAT KHUSUS,3
2014,3271,KOTA BOGOR,ALAM,0
2014,3271,KOTA BOGOR,BUDAYA,2
2014,3271,KOTA BOGOR,MINAT KHUSUS,55
2014,3272,KOTA SUKABUMI,ALAM,2
2014,3272,KOTA SUKABUMI,BUDAYA,0
2014,3272,KOTA SUKABUMI,MINAT KHUSUS,0
2014,3273,KOTA BANDUNG,ALAM,3
2014,3273,KOTA BANDUNG,BUDAYA,3
2014,3273,KOTA BANDUNG,MINAT KHUSUS,8
2014,3274,KOTA CIREBON,ALAM,1
2014,3274,KOTA CIREBON,BUDAYA,8
2014,3274,KOTA CIREBON,MINAT KHUSUS,1
2014,3275,KOTA BEKASI,ALAM,0
2014,3275,KOTA BEKASI,BUDAYA,0
2014,3275,KOTA BEKASI,MINAT KHUSUS,0
2014,3276,KOTA DEPOK,ALAM,6
2014,3276,KOTA DEPOK,BUDAYA,0
2014,3276,KOTA DEPOK,MINAT KHUSUS,0
2014,3277,KOTA CIMAHI,ALAM,0
2014,3277,KOTA CIMAHI,BUDAYA,0
2014,3277,KOTA CIMAHI,MINAT KHUSUS,0
2014,3278,KOTA TASIKMALAYA,ALAM,3
2014,3278,KOTA TASIKMALAYA,BUDAYA,4
2014,3278,KOTA TASIKMALAYA,MINAT KHUSUS,0
2014,3279,KOTA BANJAR,ALAM,1
2014,3279,KOTA BANJAR,BUDAYA,0
2014,3279,KOTA BANJAR,MINAT KHUSUS,0
2015,3201,KABUPATEN BOGOR,ALAM,38
2015,3201,KABUPATEN BOGOR,BUDAYA,3
2015,3201,KABUPATEN BOGOR,MINAT KHUSUS,4
2015,3202,KABUPATEN SUKABUMI,ALAM,36
2015,3202,KABUPATEN SUKABUMI,BUDAYA,7
2015,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7
2015,3203,KABUPATEN CIANJUR,ALAM,9
2015,3203,KABUPATEN CIANJUR,BUDAYA,3
2015,3203,KABUPATEN CIANJUR,MINAT KHUSUS,4
2015,3204,KABUPATEN BANDUNG,ALAM,78
2015,3204,KABUPATEN BANDUNG,BUDAYA,41
2015,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0
2015,3205,KABUPATEN GARUT,ALAM,28
2015,3205,KABUPATEN GARUT,BUDAYA,5
2015,3205,KABUPATEN GARUT,MINAT KHUSUS,6
2015,3206,KABUPATEN TASIKMALAYA,ALAM,10
2015,3206,KABUPATEN TASIKMALAYA,BUDAYA,2
2015,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,1
2015,3207,KABUPATEN CIAMIS,ALAM,1
2015,3207,KABUPATEN CIAMIS,BUDAYA,6
2015,3207,KABUPATEN CIAMIS,MINAT KHUSUS,2
2015,3208,KABUPATEN KUNINGAN,ALAM,19
2015,3208,KABUPATEN KUNINGAN,BUDAYA,6
2015,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3
