Jenis Hotel,,,,,,,,,,,,,
,Tingkat Penghunian Kamar Hotel (Persen),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
1.a. Hotel Bintang 1,33.67,30,24.12,29.27,29.78,31.99,31.25,32.96,33.84,31.73,31.57,37.05,-
1.b. Hotel Bintang 2,42.21,45.65,40.88,46.45,51.92,53.14,54.24,49.26,50.83,52.34,53.4,57.32,-
1.c. Hotel Bintang 3,45.76,46.7,38.48,45.38,49.7,51.7,53.85,48.62,49.73,49.26,48.78,54.47,-
1.d. Hotel Bintang 4,49.77,54.84,43.91,49.61,57.32,59.72,62.09,55.98,57.08,61.55,59.3,64.89,-
1.e. Hotel Bintang 5,49.54,63.31,51.98,51.59,64.73,69.17,65.98,64.45,59.86,63.45,62.26,70.5,-
1. Hotel Berbintang Total,45.94,49.09,40.56,46.32,52.31,54.42,55.94,51.09,51.97,53.85,52.99,58.56,-
2.a. Hotel NonBintang; kamar <10,12.13,16.25,10.31,19.39,18.38,19.56,17.85,17.29,17.92,13.89,17.48,24.35,-
2.b. Hotel NonBintang; kamar 10-24,24.37,25.99,17.48,24.19,24.85,24.75,25.04,23.73,24.44,23.19,24.2,28.54,-
2.c. Hotel NonBintang; kamar 25-40,25.31,28.71,21.27,25.94,26.85,27.28,27.67,27.02,27.8,28.11,27.14,31.18,-
2.d. Hotel NonBintang; kamar >40,19.65,22.94,15.51,20.87,21.32,21.53,22.44,20.8,20.42,21.03,20.3,23.44,-
2. Hotel NonBintang Total,22.11,24.49,16.85,22.81,23.27,23.57,23.87,22.69,23.01,23.1,22.71,26.85,-
3. Hotel Berbintang dan NonBintang Total,38.42,40.03,32.39,37.99,42.45,43.81,44.96,41.44,42.09,44.82,42.72,47.87,-
