id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun
1,32,JAWA BARAT,BALAI BESAR TN.GN. GEDEPANGRANGO,WISATAWAN NUSANTARA,161154,ORANG,2016
2,32,JAWA BARAT,BALAI BESAR TN.GN. GEDEPANGRANGO,WISATAWAN MANCANEGARA,1030,ORANG,2016
3,32,JAWA BARAT,TN.GN.GEDEPANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2016
4,32,JAWA BARAT,TN.GN.GEDEPANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2016
5,32,JAWA BARAT,BALAI TN.GN.HALIMUN-SALAK,WISATAWAN NUSANTARA,131073,ORANG,2016
6,32,JAWA BARAT,BALAI TN.GN.HALIMUN-SALAK,WISATAWAN MANCANEGARA,208,ORANG,2016
7,32,JAWA BARAT,TN.GN.HALIMUN SALAK,WISATAWAN NUSANTARA,0,ORANG,2016
8,32,JAWA BARAT,TN.GN.HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2016
9,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,405747,ORANG,2016
10,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,15,ORANG,2016
11,32,JAWA BARAT,TN. GN.CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2016
12,32,JAWA BARAT,TN. GN.CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2016
13,32,JAWA BARAT,JUMLAH TOTAL PENDAPATAN TN,WISATAWAN NUSANTARA,0,ORANG,2016
14,32,JAWA BARAT,JUMLAH TOTAL PENDAPATAN TN,WISATAWAN MANCANEGARA,0,ORANG,2016
15,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN NUSANTARA,0,ORANG,2016
16,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN MANCANEGARA,0,ORANG,2016
17,32,JAWA BARAT,TAHURA IR. H. DJUANDA,WISATAWAN NUSANTARA,558885,ORANG,2016
18,32,JAWA BARAT,TAHURA IR. H. DJUANDA,WISATAWAN MANCANEGARA,3304,ORANG,2016
19,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2016
20,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN MANCANEGARA,0,ORANG,2016
21,32,JAWA BARAT,TWA TANGKUBANPARAHU,WISATAWAN NUSANTARA,1512083,ORANG,2016
22,32,JAWA BARAT,TWA TANGKUBANPARAHU,WISATAWAN MANCANEGARA,86695,ORANG,2016
23,32,JAWA BARAT,TWA TELAGA PATENGAN,WISATAWAN NUSANTARA,201207,ORANG,2016
24,32,JAWA BARAT,TWA TELAGA PATENGAN,WISATAWAN MANCANEGARA,761,ORANG,2016
25,32,JAWA BARAT,TWA CIMANGGU,WISATAWAN NUSANTARA,101388,ORANG,2016
26,32,JAWA BARAT,TWA CIMANGGU,WISATAWAN MANCANEGARA,3,ORANG,2016
27,32,JAWA BARAT,TWA TELAGAWARNA,WISATAWAN NUSANTARA,26581,ORANG,2016
28,32,JAWA BARAT,TWA TELAGAWARNA,WISATAWAN MANCANEGARA,2783,ORANG,2016
29,32,JAWA BARAT,TWA GUNUNG PANCAR,WISATAWAN NUSANTARA,96761,ORANG,2016
30,32,JAWA BARAT,TWA GUNUNG PANCAR,WISATAWAN MANCANEGARA,298,ORANG,2016
31,32,JAWA BARAT,TWA SUKAWAYANA,WISATAWAN NUSANTARA,7682,ORANG,2016
32,32,JAWA BARAT,TWA SUKAWAYANA,WISATAWAN MANCANEGARA,1,ORANG,2016
33,32,JAWA BARAT,TWA KAMOJANG,WISATAWAN NUSANTARA,37993,ORANG,2016
34,32,JAWA BARAT,TWA KAMOJANG,WISATAWAN MANCANEGARA,113,ORANG,2016
35,32,JAWA BARAT,TWA PANGANDARAN,WISATAWAN NUSANTARA,51947,ORANG,2016
36,32,JAWA BARAT,TWA PANGANDARAN,WISATAWAN MANCANEGARA,225,ORANG,2016
37,32,JAWA BARAT,TWA PAPANDAYAN,WISATAWAN NUSANTARA,66658,ORANG,2016
38,32,JAWA BARAT,TWA PAPANDAYAN,WISATAWAN MANCANEGARA,800,ORANG,2016
39,32,JAWA BARAT,TWA GUNUNG GUNTUR,WISATAWAN NUSANTARA,22880,ORANG,2016
40,32,JAWA BARAT,TWA GUNUNG GUNTUR,WISATAWAN MANCANEGARA,2,ORANG,2016
41,32,JAWA BARAT,TWA SANGIANG,WISATAWAN NUSANTARA,3587,ORANG,2016
42,32,JAWA BARAT,TWA SANGIANG,WISATAWAN MANCANEGARA,2,ORANG,2016
43,32,JAWA BARAT,TWA JEMBER,WISATAWAN NUSANTARA,0,ORANG,2016
44,32,JAWA BARAT,TWA JEMBER,WISATAWAN MANCANEGARA,0,ORANG,2016
45,32,JAWA BARAT,TWA TALAGABODAS,WISATAWAN NUSANTARA,20495,ORANG,2016
46,32,JAWA BARAT,TWA TALAGABODAS,WISATAWAN MANCANEGARA,3,ORANG,2016
47,32,JAWA BARAT,TWA TAMPOMAS,WISATAWAN NUSANTARA,0,ORANG,2016
48,32,JAWA BARAT,TWA TAMPOMAS,WISATAWAN MANCANEGARA,0,ORANG,2016
49,32,JAWA BARAT,TWA PASIR PUTIH PANGANDARAN,WISATAWAN NUSANTARA,0,ORANG,2016
50,32,JAWA BARAT,TWA PASIR PUTIH PANGANDARAN,WISATAWAN MANCANEGARA,0,ORANG,2016
51,32,JAWA BARAT,TWA LINGGARJATI,WISATAWAN NUSANTARA,38821,ORANG,2016
52,32,JAWA BARAT,TWA LINGGARJATI,WISATAWAN MANCANEGARA,0,ORANG,2016
53,32,JAWA BARAT,TB MASIGIT KAREUMBI,WISATAWAN NUSANTARA,3711,ORANG,2016
