pengelola_kawasan,tipe_pengelola,avg_pengunjung,years_active,rasio_wisman,cluster
BALAI BESAR TN.GN. GEDEPANGRANGO,TN,32436.8,1.0,0.00635081142406156,3
BALAI TN. GN. CIREMAI,TN,81156.0,3.0,3.696584356055005e-05,1
BALAI TN. GN. HALIMUN SALAK,TN,104.0,3.0,0.0,1
BALAI TN.GN.HALIMUN-SALAK,TN,26256.2,1.0,0.0015843876874795286,3
BP RANCAUPAS,LAINNYA,110.6,1.0,0.0,0
BUPER CIKOLE,PERHUTANI,330.2,1.0,0.0,0
BUPER CITAMIANG,PERHUTANI,1834.2,1.0,0.0023988659906226148,0
BUPER KAWAH SIMAUT,PERHUTANI,250.0,1.0,0.0,0
BUPER PAKEMBANGAN,PERHUTANI,5620.2,1.0,0.0,0
CIBUNGUR,LAINNYA,1991.6,1.0,0.0,0
CIHURANG,LAINNYA,1820.6,2.0,0.0,0
CIKOLE JAYAGIRI RESORT & TREETOP,LAINNYA,190.6,1.0,0.0,0
CIMANGGU,LAINNYA,0.8,1.0,0.0,0
CIPADAYUNGAN,LAINNYA,69.0,1.0,0.0,0
CIPANTEUNEUN,LAINNYA,804.0,1.0,0.0,0
CITEKO,LAINNYA,980.8,1.0,0.0,0
CITUMANG,LAINNYA,6673.8,4.0,0.0,2
CURUG ARCA,LAINNYA,521.6,1.0,0.0,0
CURUG CIGENTIS,LAINNYA,17538.8,1.0,0.0,0
CURUG CILEAT,LAINNYA,8014.8,1.0,0.0,0
CURUG CILEMBER,LAINNYA,8113.0,1.0,0.0,0
CURUG CILENGKRANG,LAINNYA,4356.2,1.0,0.0,0
CURUG CIMAHI,LAINNYA,7607.6,4.0,0.0,2
CURUG CIPAMINGKIS,LAINNYA,19.4,1.0,0.0,0
CURUG CIPAMINGLIS,LAINNYA,3214.8,2.0,0.0,0
CURUG CISUREN,LAINNYA,29183.2,1.0,0.0002330107733216371,0
CURUG KEMBAR BATULAYANG,LAINNYA,4745.8,1.0,0.00012642757806902947,0
CURUG LAYUNG,LAINNYA,1452.0,1.0,0.0,0
CURUG NANGKA,LAINNYA,180.0,1.0,0.0,0
CURUG PANGANTEN,LAINNYA,16580.8,1.0,0.0,0
CURUG PANJANG,LAINNYA,288.8,3.0,0.0,2
CURUG TUJUH CIBOLANG,LAINNYA,3488.4,1.0,0.0,0
GALUNGGUNG,LAINNYA,30.0,1.0,0.0,0
GUA BUNIAYU,LAINNYA,485.2,2.0,0.0,0
GUNUNG BUNDER,LAINNYA,3652.6,1.0,0.019492963916114547,0
GUNUNG PUNTANG,LAINNYA,4.0,1.0,0.0,0
JOGING TRACK,LAINNYA,1504.8,1.0,0.0,0
KAMPUNG CAI RANCA UPAS,LAINNYA,223.4,1.0,0.0,0
KARANG NINI,LAINNYA,6.8,1.0,0.0,0
KARANGNINI,LAINNYA,221.6,3.0,0.01895306859205776,2
KAWAH PUTIH,LAINNYA,3220.6,1.0,0.0,0
LHI JAYAGIRI,LAINNYA,5428.0,1.0,0.0,0
PANGANDARAN,LAINNYA,8446.2,2.0,0.005327839738580664,0
PANORAMA PABANGBON,LAINNYA,3.2,1.0,0.0,0
PATUHA RESORT,LAINNYA,128.6,1.0,0.0,0
PULAU CANGKIR,LAINNYA,55.2,1.0,0.0,0
REST AREA URUG,LAINNYA,767.0,1.0,0.0,0
SITU MUSTIKA,LAINNYA,601.6,1.0,0.0,0
SUKAMANTRI,LAINNYA,89.0,1.0,0.0,0
TAHURA GN. KUNCI DAN PALASARI,TAHURA,0.8,1.0,0.0,3
TAHURA IR. H. DJUANDA,TAHURA,114712.8,4.0,0.0057604731119805285,1
TB MASIGIT KAREUMBI,LAINNYA,748.2,3.0,0.0008019246190858059,2
TN. GN. GEDE PANGRANGO,TN,576.4,3.0,0.0,1
TWA CIMANGGU,TWA,22730.6,4.0,2.639613560574732e-05,1
TWA GUNUNG GUNTUR,TWA,4581.2,2.0,8.731336767659129e-05,3
TWA GUNUNG PANCAR,TWA,19519.4,4.0,0.003053372542188797,1
TWA KAMOJANG,TWA,7651.2,4.0,0.0029537850271852783,1
TWA LINGGARJATI,TWA,7764.2,1.0,0.0,3
TWA PANGANDARAN,TWA,10547.4,4.0,0.0042664542920530174,1
TWA PAPANDAYAN,TWA,13924.8,4.0,0.01149029070435482,1
TWA PASIR PUTIH PANGANDARAN,TWA,46.6,1.0,0.0,3
TWA SANGIANG,TWA,720.2,2.0,0.0005554012774229381,3
TWA SUKAWAYANA,TWA,1536.6,1.0,0.00013015749056358194,3
TWA TALAGABODAS,TWA,4104.4,4.0,0.00014618458239937628,1
TWA TANGKUBANPARAHU,TWA,337775.2,4.0,0.05133295754099176,1
TWA TELAGA PATENGAN,TWA,40435.4,3.0,0.003764028549241506,1
TWA TELAGAWARNA,TWA,6741.4,4.0,0.08256445248761385,1
WH CARIU,PERHUTANI,0.2,1.0,0.0,0
WH CIBOLANG,PERHUTANI,12555.0,1.0,0.0,0
WH CURUG CILEMBER,PERHUTANI,21056.0,2.0,0.0,0
WH KAWAH PUTIH,PERHUTANI,2339.2,1.0,0.0,0
